pca_feature_0,pca_feature_1,pca_feature_2,pca_feature_3,pca_feature_4,Label
12.400677338990661,13.562279285828426,12.49485934296194,4.680821761034393,15.679353920167818,Benign
2.6429550075424713,1.0364695597927132,10.408052693751097,-10.811640982767797,1.4288110303477173,Benign
43.10270433040163,35.86710046548715,-6.450549476609149,-8.090551323146595,-1.8545564068327551,Benign
12.21894991624258,8.652445877503583,29.25990494574042,-15.196190966321884,-2.3934265689132093,Benign
20.3837553742702,-3.4079108561018017,6.237693550393447,2.204724652346826,-28.80309160665881,Benign
-13.158276687733228,14.6012143267764,9.398336989581157,-11.135710091487638,-2.3029981354990756,Benign
-2.9220779284894434,17.305551571403566,19.362153747390327,-6.279126685423484,2.2982234530272416,Benign
57.551628863226156,46.974181832479005,-2.748002156960617,-10.72705728511575,11.296270740386255,Benign
-44.86865996644591,-6.509339413974148,30.15699272503496,-11.222636271367834,16.26368791870743,Benign
3.4496711670308735,17.374142331464558,25.59562367699324,-13.55199012623454,-6.28518560679513,Benign
-25.698631113857584,10.981839949421376,-14.139074501754125,-9.294967879673738,11.361804234623019,Benign
10.264839559849479,20.423371572498596,-0.4216919180569929,-1.8433557474219004,-3.027999332053953,Benign
8.17758925448045,23.142662569449637,5.914913649452014,-13.867257485541042,5.018980662713403,Benign
-7.437403248481621,2.2107888068444566,22.46469097596213,-4.342289450994936,20.39972162021918,Benign
8.164301313470709,18.626177366402466,-37.15028583081983,2.580903605117671,-14.015372215484971,Benign
-11.906722985551365,7.613799518630701,9.799688523407024,-7.657235924790501,8.695027483706268,Benign
-25.12911987674957,2.944070778261005,2.554654245966109,-0.49889697233784047,-28.30198869204721,Benign
40.37077138979534,42.23643626402035,-12.06278498468691,-16.832695847629303,8.450160569513315,Benign
21.865590395029272,26.84785206070038,-13.12158788496782,-1.691919063851191,-17.480624925529536,Benign
45.50995329684295,-64.95731275054,-3.8281515748325283,-7.716255873281103,11.251805135412972,Benign
-52.22951947499619,-8.738727397282906,20.403883556393584,-8.125638103780103,-20.25648931312687,Malignant
47.84550668199029,-76.89244273125136,-13.779774916345685,-15.925535643680746,4.63772375186136,Malignant
